,Property ID,Locality data,Price,Property type,Property subtype,Type of sale,Number of bedrooms,Living area m²,Equipped kitchen,Furnished,Open fire,Terrace surface m²,Garden area m²,Number of facades,Swimming pool,Building condition
0, 20241273,6220,315000,house,house,None,2,100,0,0,1,14,1030,4,0,To be done up
1, 20240496,8790,299000,house,house,None,4,354,1,0,1,None,None,3,0,Good
2, 20239177,7890,349000,house,house,None,3,138,1,0,1,25,2000,4,0,To be done up
3, 20238847,9600,349000,house,house,None,3,138,1,0,1,25,2000,4,0,To be done up
4, 20236558,2018,389900,house,house,None,3,150,0,0,1,5,19,2,0,Just renovated
5, 20236560,2140,389900,house,house,None,3,150,0,0,1,5,19,2,0,Just renovated
6, 20222713,2970,640000,house,house,None,3,241,1,0,1,None,None,4,0,Good
7, 20238203,4460,219000,house,house,None,2,94,1,0,1,21,315,3,0,Good
8, 20236473,2140,299900,house,house,None,2,148,1,0,1,None,None,2,0,Good
9, 20236267,9600,424000,house,house,None,6,360,0,0,1,50,500,4,0,To renovate
10, 20235828,9660,440000,house,house,None,3,210,1,0,1,None,None,None,0,Good
11, 20237265,6760,465000,house,house,None,6,268,1,0,1,45,200,4,0,Just renovated
12, 20234950,9290,485000,house,house,None,3,160,0,0,1,None,None,4,0,As new
13, 20235652,8300,1690000,house,villa,None,3,291,0,0,1,None,None,None,0,As new
14, 20223819,4570,149000,house,country-cottage,None,2,112,0,0,1,70,1044,3,0,Good
15, 20233780,4430,199000,house,town-house,None,3,115,1,0,1,17,None,2,0,To renovate
16, 20231387,9420,270000,house,house,None,3,203,1,0,1,None,None,None,0,To be done up
17, 20234268,1040,410000,house,house,None,3,107,1,0,1,30,None,2,0,To renovate
18, 20232809,2800,428000,house,house,None,2,192,0,0,1,None,None,None,0,Good
19, 20231776,1050,930000,house,house,None,4,230,0,0,1,20,150,2,0,As new
20, 20235432,2960,1099000,house,villa,None,4,452,1,0,1,None,None,4,0,Good
21, 20234879,9600,389000,house,house,None,None,145,0,0,1,16,None,2,0,As new
22, 20241827,7331,95000,house,house,None,3,97,0,0,1,None,88,2,0,Good
23, 20241185,9600,139000,house,house,None,3,134,0,0,1,None,None,None,0,To renovate
24, 20240183,9160,326000,house,house,None,3,211,0,0,1,None,None,None,0,To be done up
25, 20240531,9280,359000,house,house,None,3,190,0,0,1,None,None,2,0,Just renovated
26, 20240493,9000,435000,house,house,None,5,181,1,0,1,33,None,2,0,To be done up
27, 20239910,8620,635000,house,house,None,4,187,0,0,1,None,None,None,0,Good
28, 20240235,9030,725000,house,house,None,4,424,1,0,1,None,None,None,0,To be done up
